"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","HID Data","Info"
"141","0.415593","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"143","0.416594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"145","0.417593","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"147","0.418595","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"149","0.419593","7.3.1","host","USB","72","","0000060002000000","URB_INTERRUPT in"
"151","0.420593","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"153","0.421594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"155","0.422593","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"157","0.423595","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"159","0.424594","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"161","0.425594","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"163","0.426594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"165","0.427593","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"167","0.428594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"169","0.429594","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"171","0.430594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"173","0.431593","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"175","0.432593","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"177","0.433594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"179","0.434594","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"181","0.435594","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"183","0.436594","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"185","0.437594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"187","0.438594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"189","0.439594","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"191","0.440594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"193","0.441594","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"195","0.442594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"197","0.443594","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"199","0.444594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"201","0.445594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"203","0.446594","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"205","0.447594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"207","0.448594","7.3.1","host","USB","72","","0000070003000000","URB_INTERRUPT in"
"209","0.449595","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"211","0.450594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"213","0.451594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"215","0.452594","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"217","0.453594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"219","0.454594","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"221","0.455594","7.3.1","host","USB","72","","0000040000000000","URB_INTERRUPT in"
"223","0.456596","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"225","0.457595","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"227","0.458594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"229","0.459594","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"231","0.460594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"233","0.461594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"235","0.462594","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"237","0.463594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"239","0.464594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"241","0.465594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"243","0.466594","7.3.1","host","USB","72","","0000060002000000","URB_INTERRUPT in"
"245","0.467594","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"247","0.468594","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"249","0.469594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"251","0.470594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"253","0.471595","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"255","0.472595","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"257","0.473595","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"259","0.474594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"261","0.475594","7.3.1","host","USB","72","","0000030000000000","URB_INTERRUPT in"
"263","0.476594","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"265","0.477595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"267","0.478594","7.3.1","host","USB","72","","0000030000000000","URB_INTERRUPT in"
"269","0.479595","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"271","0.480594","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"273","0.481596","7.3.1","host","USB","72","","0000030000000000","URB_INTERRUPT in"
"275","0.482595","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"277","0.483595","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"279","0.484595","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"281","0.485595","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"283","0.486595","7.3.1","host","USB","72","","0000020000000000","URB_INTERRUPT in"
"285","0.487595","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"287","0.488595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"289","0.489595","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"291","0.490595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"293","0.491595","7.3.1","host","USB","72","","0000030000000000","URB_INTERRUPT in"
"295","0.492595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"297","0.493595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"299","0.494595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"301","0.495595","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"303","0.496595","7.3.1","host","USB","72","","0000020000000000","URB_INTERRUPT in"
"305","0.497595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"307","0.498595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"309","0.499595","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"311","0.500595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"313","0.501595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"315","0.502596","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"317","0.503596","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"319","0.504595","7.3.1","host","USB","72","","0000020000000000","URB_INTERRUPT in"
"321","0.505596","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"323","0.506595","7.3.1","host","USB","72","","0000030000000000","URB_INTERRUPT in"
"325","0.507596","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"327","0.508596","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"329","0.509596","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"331","0.510595","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"333","0.511596","7.3.1","host","USB","72","","0000020000000000","URB_INTERRUPT in"
"335","0.512596","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"337","0.513595","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"339","0.514597","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"341","0.515597","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"343","0.516596","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"345","0.517596","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"347","0.518596","7.3.1","host","USB","72","","0000020000000000","URB_INTERRUPT in"
"349","0.519596","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"351","0.520596","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"353","0.521596","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"355","0.522596","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"357","0.523598","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"359","0.524598","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"361","0.525596","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"363","0.526596","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"365","0.527596","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"367","0.528596","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"369","0.529597","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"371","0.530597","7.3.1","host","USB","72","","0000030000000000","URB_INTERRUPT in"
"373","0.531596","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"375","0.532596","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"377","0.533596","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"379","0.534597","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"381","0.535596","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"383","0.536596","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"385","0.537597","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"387","0.538597","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"389","0.539597","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"391","0.540596","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"393","0.541597","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"395","0.542597","7.3.1","host","USB","72","","0000070002000000","URB_INTERRUPT in"
"397","0.543597","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"399","0.544597","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"401","0.545597","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"403","0.546597","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"405","0.547597","7.3.1","host","USB","72","","0000060002000000","URB_INTERRUPT in"
"407","0.548597","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"409","0.549597","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"411","0.550597","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"413","0.551597","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"415","0.552597","7.3.1","host","USB","72","","0000060002000000","URB_INTERRUPT in"
"417","0.553597","7.3.1","host","USB","72","","0000040000000000","URB_INTERRUPT in"
"419","0.554597","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"421","0.555597","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"423","0.556599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"425","0.557598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"427","0.558597","7.3.1","host","USB","72","","0000040000000000","URB_INTERRUPT in"
"429","0.559597","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"431","0.560597","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"433","0.561597","7.3.1","host","USB","72","","00000a0002000000","URB_INTERRUPT in"
"435","0.562598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"437","0.563597","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"439","0.564598","7.3.1","host","USB","72","","0000060000000000","URB_INTERRUPT in"
"441","0.565598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"443","0.566597","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"445","0.567598","7.3.1","host","USB","72","","0000060000000000","URB_INTERRUPT in"
"447","0.568598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"449","0.569598","7.3.1","host","USB","72","","00000a0001000000","URB_INTERRUPT in"
"451","0.570597","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"453","0.571597","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"455","0.572598","7.3.1","host","USB","72","","0000070001000000","URB_INTERRUPT in"
"457","0.573598","7.3.1","host","USB","72","","0000060000000000","URB_INTERRUPT in"
"459","0.574598","7.3.1","host","USB","72","","0000020000000000","URB_INTERRUPT in"
"461","0.575598","7.3.1","host","USB","72","","0000070001000000","URB_INTERRUPT in"
"463","0.576598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"465","0.577598","7.3.1","host","USB","72","","00000a0001000000","URB_INTERRUPT in"
"467","0.578598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"469","0.579598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"471","0.580598","7.3.1","host","USB","72","","0000070000000000","URB_INTERRUPT in"
"473","0.581598","7.3.1","host","USB","72","","0000090001000000","URB_INTERRUPT in"
"475","0.582598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"477","0.583598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"479","0.584598","7.3.1","host","USB","72","","0000070001000000","URB_INTERRUPT in"
"481","0.585598","7.3.1","host","USB","72","","0000030000000000","URB_INTERRUPT in"
"483","0.586598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"485","0.587598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"487","0.588598","7.3.1","host","USB","72","","0000070001000000","URB_INTERRUPT in"
"489","0.589598","7.3.1","host","USB","72","","0000090002000000","URB_INTERRUPT in"
"491","0.590599","7.3.1","host","USB","72","","0000060000000000","URB_INTERRUPT in"
"493","0.591598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"495","0.592598","7.3.1","host","USB","72","","0000070001000000","URB_INTERRUPT in"
"497","0.593598","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"499","0.594598","7.3.1","host","USB","72","","0000070001000000","URB_INTERRUPT in"
"501","0.595598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"503","0.596598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"505","0.597598","7.3.1","host","USB","72","","0000090002000000","URB_INTERRUPT in"
"507","0.598599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"509","0.599598","7.3.1","host","USB","72","","0000060002000000","URB_INTERRUPT in"
"511","0.600598","7.3.1","host","USB","72","","0000090002000000","URB_INTERRUPT in"
"513","0.601599","7.3.1","host","USB","72","","0000070001000000","URB_INTERRUPT in"
"515","0.602599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"517","0.603599","7.3.1","host","USB","72","","0000060002000000","URB_INTERRUPT in"
"519","0.604599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"521","0.605599","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"523","0.606599","7.3.1","host","USB","72","","0000060002000000","URB_INTERRUPT in"
"525","0.607599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"527","0.608599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"529","0.609599","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"531","0.610599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"533","0.611599","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"535","0.612599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"537","0.613599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"539","0.614599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"541","0.615599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"543","0.616599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"545","0.617599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"547","0.618599","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"549","0.619599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"551","0.620599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"553","0.621601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"555","0.622598","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"557","0.623599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"559","0.624599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"561","0.625598","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"563","0.626598","7.3.1","host","USB","72","","0000050000000000","URB_INTERRUPT in"
"565","0.627598","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"567","0.628598","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"569","0.629598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"571","0.630598","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"573","0.631598","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"575","0.632598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"577","0.633598","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"579","0.634598","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"581","0.635598","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"583","0.636599","7.3.1","host","USB","72","","00000a0003000000","URB_INTERRUPT in"
"585","0.637598","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"587","0.638599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"589","0.639599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"591","0.640598","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"593","0.641599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"595","0.642599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"597","0.643599","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"599","0.644599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"601","0.645599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"603","0.646599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"605","0.647599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"607","0.648599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"609","0.649599","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"611","0.650599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"613","0.651599","7.3.1","host","USB","72","","0000050002000000","URB_INTERRUPT in"
"615","0.652599","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"617","0.653599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"619","0.654599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"621","0.655599","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"623","0.656600","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"625","0.657601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"627","0.658600","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"629","0.659601","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"631","0.660600","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"633","0.661601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"635","0.662601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"637","0.663601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"639","0.664601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"641","0.665602","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"643","0.666601","7.3.1","host","USB","72","","0000060001000000","URB_INTERRUPT in"
"645","0.667601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"647","0.668601","7.3.1","host","USB","72","","0000030000000000","URB_INTERRUPT in"
"649","0.669601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"651","0.670601","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"653","0.671601","7.3.1","host","USB","72","","0000090002000000","URB_INTERRUPT in"
"655","0.672601","7.3.1","host","USB","72","","0000050000000000","URB_INTERRUPT in"
"657","0.673601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"659","0.674601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"661","0.675601","7.3.1","host","USB","72","","0000040000000000","URB_INTERRUPT in"
"663","0.676601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"665","0.677601","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"667","0.678601","7.3.1","host","USB","72","","0000050001000000","URB_INTERRUPT in"
"669","0.679601","7.3.1","host","USB","72","","0000030000000000","URB_INTERRUPT in"
"671","0.680601","7.3.1","host","USB","72","","0000040000000000","URB_INTERRUPT in"
"673","0.681601","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"675","0.682601","7.3.1","host","USB","72","","0000080001000000","URB_INTERRUPT in"
"677","0.683601","7.3.1","host","USB","72","","0000040000000000","URB_INTERRUPT in"
"679","0.684601","7.3.1","host","USB","72","","0000050000000000","URB_INTERRUPT in"
